Feature,Importance
SMR_VSA7,33279.491126060486
ETA_dEpsilon_B,12939.707823753357
PEOE_VSA2,11821.494121551514
VSA_EState2,8070.331692695618
SlogP_VSA8,7677.4104261398315
AATSC6p,7165.542429924011
MATS3p,6994.660908699036
NdS,6105.649207115173
BCUTc-1l,5589.778928279877
GATS1c,5576.736680984497
SlogP_VSA6,5230.4830493927
PEOE_VSA11,4995.539830207825
AATSC6v,4903.091238975525
PEOE_VSA8,4788.644553184509
GATS3d,4771.163808822632
SdssC,4714.231958389282
MATS1c,4553.874948501587
AATSC5Z,4347.822591781616
GATS3s,4258.039248466492
SaaN,4255.122586250305
BCUTi-1h,3988.143290042877
Xc-6d,3936.6214561462402
JGI4,3903.137267112732
SlogP_VSA3,3611.2853469848633
MID_N,3566.6724433898926
BCUTc-1h,3491.30028629303
GATS1se,3453.670168876648
VSA_EState3,3436.943398475647
SdsCH,3378.349811553955
BCUTd-1l,3357.5999851226807
SsssN,3308.4482774734497
VE2_D,3291.8892908096313
JGI3,3283.6668648719788
AETA_beta_ns_d,3246.6886286735535
PEOE_VSA9,3239.8995451927185
BCUTi-1l,3190.8545112609863
GATS3c,3190.8247842788696
VSA_EState4,3183.9235706329346
SlogP_VSA1,3166.4763650894165
SlogP_VSA10,3157.6414980888367
SssNH,3062.951051712036
GATS6c,2979.119507789612
GATS5p,2953.316530227661
JGI6,2880.3839025497437
RPCG,2880.3794860839844
JGI7,2860.1410665512085
BCUTm-1l,2781.187539100647
GATS5c,2760.2905197143555
GATS4c,2740.2369623184204
RNCG,2735.620502471924
VSA_EState5,2722.6192264556885
SlogP_VSA5,2718.7471113204956
GATS4s,2711.5045337677
PEOE_VSA10,2710.2616424560547
VE1_D,2678.8507986068726
AATSC1c,2671.8750076293945
SMR_VSA3,2668.880172729492
GATS8c,2663.4160232543945
ATSC3s,2653.3739738464355
GATS6p,2648.3044481277466
PEOE_VSA6,2641.8316373825073
GATS5i,2596.9349870681763
GATS6i,2574.108498573303
EState_VSA3,2570.172582626343
MATS3s,2556.5544595718384
AMID_N,2556.306658744812
JGI5,2534.737370491028
SlogP_VSA2,2533.360710144043
nAromAtom,2504.797583580017
GATS7c,2503.6824264526367
nBase,2471.120987892151
GATS5d,2467.543501853943
BCUTp-1l,2464.312529563904
GATS5s,2457.232147216797
GATS3p,2434.670415878296
GATS4i,2418.0314989089966
AETA_eta_F,2414.488067626953
HybRatio,2410.8560676574707
BCUTare-1l,2403.1895570755005
GATS6d,2395.4266777038574
PEOE_VSA7,2388.5764589309692
GATS1p,2350.5353469848633
GATS2s,2349.1499099731445
JGI8,2345.2731380462646
GATS4d,2343.7170763015747
MDEC-22,2333.7589530944824
PEOE_VSA12,2323.3871097564697
GATS2i,2307.0109395980835
SaasC,2293.5729961395264
ATSC1c,2286.926182746887
GATS1s,2269.931983947754
GATS6v,2266.604519844055
EState_VSA4,2257.7143049240112
ETA_shape_y,2255.2696990966797
BCUTZ-1l,2228.7044887542725
MATS4c,2223.1250381469727
JGI10,2218.925845146179
GATS7p,2208.3779315948486
ATSC3dv,2205.352066040039
SdS,2202.5802993774414
C2SP2,2185.5303077697754
MATS1s,2183.900902748108
BCUTZ-1h,2176.6251668930054
PEOE_VSA1,2176.334629058838
GATS8i,2165.238621711731
Xch-5dv,2163.350835800171
GATS6s,2149.4681396484375
GATS6dv,2137.4275522232056
JGI9,2135.421109199524
GATS2c,2132.1006240844727
AATS5i,2127.5572395324707
EState_VSA2,2124.1781911849976
MDEC-33,2116.314215660095
MATS3c,2105.072971343994
GATS3dv,2099.3416442871094
GATS4dv,2097.4646406173706
GATS8d,2096.7628326416016
EState_VSA5,2091.034041404724
EState_VSA6,2084.8485889434814
GATS7s,2081.4742794036865
AATS7i,2073.643810272217
GATS8s,2072.8016033172607
GATS7i,2072.1991262435913
EState_VSA8,2069.1895656585693
VSA_EState7,2063.8771085739136
RotRatio,2050.2823963165283
AATSC3s,2015.8243627548218
ATSC8i,2005.7560272216797
n6aRing,2003.7661800384521
MATS8c,1986.7475023269653
AATSC4c,1984.1955542564392
ATSC6dv,1971.4660196304321
GATS6are,1966.7260780334473
MATS7c,1965.9503412246704
GATS2p,1963.1045217514038
AATS3p,1962.9110527038574
MATS6c,1962.387677192688
ATSC4i,1960.2320699691772
AATSC5c,1958.8105897903442
ATSC8c,1954.6735019683838
MATS4s,1951.3451719284058
GATS8p,1950.0757141113281
MATS6s,1949.2204389572144
IC2,1941.6575183868408
ATSC5c,1937.4520301818848
ATSC1se,1936.9661674499512
ATSC6v,1932.3354864120483
ATSC8d,1930.0721454620361
GATS3i,1928.2038431167603
PEOE_VSA3,1920.4165239334106
ATSC4c,1918.867917060852
AATSC5p,1908.5841283798218
AATSC0i,1905.5715703964233
AATSC1se,1902.5044212341309
GATS7d,1891.0162677764893
AATS4i,1879.5510807037354
ATSC6i,1870.2677164077759
MATS2c,1870.200210571289
GATS4p,1868.6018886566162
SdO,1855.437991142273
MATS4dv,1847.1918544769287
GATS8dv,1845.741042137146
ATSC5i,1840.9839324951172
ATSC1i,1835.967131614685
AATSC7i,1835.9271411895752
SLogP,1824.1007432937622
MATS1i,1823.0110168457031
GATS1d,1818.7253332138062
SssS,1814.2687788009644
EState_VSA9,1812.7586431503296
EState_VSA7,1811.7673034667969
GATS5dv,1811.1347694396973
GATS1dv,1811.1133632659912
AATS5p,1799.555082321167
AETA_beta_s,1788.3009300231934
GATS1i,1784.867374420166
VSA_EState6,1784.7659158706665
MATS5c,1783.0542554855347
MATS1d,1779.3125705718994
n5aHRing,1777.3499965667725
BCUTse-1l,1773.4598922729492
SsssCH,1770.734616279602
ETA_beta_ns,1768.2480897903442
AATSC6i,1763.8259725570679
MATS3i,1755.5679187774658
ATSC8dv,1754.386076927185
AATSC2c,1754.166615486145
AATSC7c,1746.3741903305054
TopoPSA,1743.4588298797607
GATS8Z,1742.934453010559
ETA_dEpsilon_D,1734.2959098815918
ATSC7s,1731.357322692871
VR2_A,1726.3941383361816
BCUTd-1h,1724.4088039398193
GATS5Z,1724.0534925460815
AATSC6c,1723.4421319961548
ATSC4dv,1718.4366884231567
GATS7dv,1718.1784105300903
ATSC3p,1717.9177408218384
GATS3se,1714.540662765503
GATS7v,1712.0916547775269
ATSC6d,1712.0239124298096
AATSC4i,1710.8294916152954
SMR_VSA6,1708.6606578826904
n6aHRing,1706.1429071426392
ATSC7p,1703.0058183670044
AATSC4s,1701.7784514427185
ATSC6c,1701.4912309646606
GATS1are,1701.0412940979004
AATS1i,1700.7986106872559
AATSC3dv,1696.895399093628
GATS4Z,1686.4335765838623
AATSC3c,1686.3762044906616
AATS3i,1674.8025598526
ZMIC1,1674.589867591858
MATS2s,1672.2282581329346
AATSC4dv,1670.108491897583
ATSC8p,1667.1411809921265
ATSC5dv,1665.5453262329102
GATS3Z,1662.9173831939697
AATSC5v,1661.8861827850342
GATS4se,1659.7843933105469
ATSC3c,1659.7617740631104
AATS6p,1655.1187019348145
TopoPSA(NO),1653.8445711135864
ATSC7c,1649.000828742981
AATSC8c,1645.6960725784302
BIC3,1636.28773021698
MATS5i,1633.8277606964111
GATS5se,1632.1901245117188
ATSC7d,1632.1344470977783
ATSC5v,1630.4353017807007
GATS3v,1629.3699560165405
AATSC1dv,1627.1032752990723
BCUTs-1l,1623.3748474121094
AATSC5i,1617.890468597412
SaaaC,1609.695068359375
ATSC7i,1606.2340383529663
AMID_O,1603.232684135437
GATS4are,1602.244833946228
AATSC1d,1602.0470838546753
SpMAD_Dzp,1601.4265727996826
PEOE_VSA13,1595.6089277267456
SaasN,1594.6066398620605
AATSC7p,1594.1016683578491
Xch-6dv,1593.594160079956
JGI2,1590.1585311889648
GATS4v,1585.4389390945435
ATSC3i,1582.4455118179321
MATS1se,1579.3415250778198
AATSC3d,1573.1454248428345
GATS4m,1571.811505317688
Xch-7dv,1567.2648620605469
SlogP_VSA4,1566.4569311141968
GATS6Z,1566.066081047058
BIC5,1560.6733722686768
MATS7i,1558.718638420105
ATSC6s,1558.146746635437
MATS5s,1554.9222574234009
GATS2dv,1552.7421035766602
AATS6i,1552.4023189544678
AATSC8i,1546.5350494384766
PEOE_VSA4,1540.8031606674194
GATS1v,1534.8516788482666
AATSC5dv,1534.4238729476929
ATSC7dv,1532.9100179672241
AETA_eta,1532.454384803772
ETA_shape_p,1531.3791971206665
GATS5m,1527.2906465530396
ATSC3Z,1523.2761936187744
ATSC3d,1520.419521331787
MATS7se,1519.3149318695068
GATS7Z,1518.314697265625
BalabanJ,1514.3991250991821
AXp-1d,1513.9499282836914
ATSC2dv,1510.7400999069214
ATSC6p,1502.5741996765137
AATSC2i,1497.206669807434
AETA_eta_BR,1492.5460567474365
AATSC0c,1489.6709117889404
AATSC4p,1489.4210443496704
AATSC8d,1485.7908897399902
AATSC5s,1477.9490604400635
BIC2,1476.6199312210083
MATS8i,1476.1361360549927
ATSC2i,1472.3756256103516
ATSC0c,1468.6508293151855
ATSC1dv,1468.18346118927
AATSC3i,1465.9627876281738
AATSC8se,1465.6873235702515
AXp-0dv,1465.1623964309692
GATS2d,1462.9061880111694
IC3,1461.221565246582
MATS4d,1456.5851802825928
ATSC7se,1450.3624534606934
GATS4pe,1448.9142780303955
AATS7p,1446.4654150009155
AATS8dv,1445.848671913147
AATS2i,1445.0918684005737
ATSC6se,1443.0143432617188
ATSC5se,1441.0529470443726
ATSC7v,1440.4978065490723
MATS6i,1438.135440826416
MATS3se,1433.7606887817383
AATSC6Z,1426.5373630523682
MID_h,1424.7393999099731
ATSC2d,1422.8721179962158
GATS8v,1422.185872077942
AETA_dBeta,1416.0237817764282
GATS5v,1414.5736532211304
GATS6se,1410.444995880127
ZMIC2,1409.1597290039062
ATSC5d,1406.3074960708618
AATS8i,1405.8019247055054
MATS7d,1403.8991289138794
Xc-5d,1402.0424823760986
AETA_beta_ns,1400.344796180725
ATSC1s,1400.2960395812988
BCUTdv-1l,1400.0065536499023
AATSC8s,1396.0138854980469
AATSC0p,1394.7694272994995
SaaS,1393.3995628356934
AATSC1i,1392.1244621276855
AATSC2p,1391.3107166290283
MATS5se,1387.6932258605957
ATSC8s,1387.197603225708
AATSC8v,1384.9819383621216
IC1,1382.1635761260986
AMID_h,1379.313443183899
AATSC1p,1379.2733640670776
SMR_VSA5,1376.9755172729492
MATS4i,1376.9461679458618
ATSC4d,1376.604853630066
VSA_EState8,1376.023889541626
AATSC5d,1371.8020524978638
AATSC7d,1368.2078304290771
NaasC,1367.790183544159
AATS4p,1366.530369758606
ATSC2c,1365.488338470459
GATS2se,1364.352484703064
AATSC3se,1359.6311445236206
AXp-7d,1359.0008487701416
GATS5pe,1344.1433553695679
MATS7dv,1343.7566576004028
GATS5are,1340.1420812606812
MATS4p,1339.5307931900024
ATSC8v,1338.9976797103882
AATSC6dv,1338.6729640960693
ATSC4Z,1336.0961618423462
MATS1are,1336.0704956054688
GATS3are,1334.9419298171997
AATSC7s,1334.077163696289
BCUTdv-1h,1328.8608980178833
MDEC-23,1327.033260345459
ATSC5s,1320.095687866211
Xc-5dv,1319.63876247406
GATS2v,1319.2684497833252
GATS7m,1318.175386428833
C1SP2,1315.2603931427002
AATSC2d,1310.73415184021
MATS2d,1308.4898161888123
MATS4are,1307.5434589385986
AATS8s,1306.2859649658203
MATS1dv,1300.7386178970337
MATS6d,1300.5524730682373
MATS7s,1299.0822010040283
AATSC3are,1298.6618385314941
AATSC0v,1297.824131011963
ATSC3v,1297.790057182312
MATS8s,1292.3645277023315
AATSC6se,1291.433759689331
Xch-5d,1286.096022605896
ATSC5p,1283.7322082519531
AATS5v,1282.748119354248
MATS5v,1282.4970083236694
BCUTpe-1l,1279.1837005615234
VE1_A,1276.676157951355
ATSC1p,1274.6054725646973
GATS1pe,1274.3568019866943
AXp-7dv,1272.7590675354004
AATSC3p,1271.9786214828491
AATS7v,1270.148998260498
GATS8are,1265.2349920272827
MATS4se,1263.7918682098389
MATS8d,1260.732042312622
SddsN,1260.7293968200684
FCSP3,1260.0438137054443
MID_O,1259.1507053375244
MATS5p,1255.2963409423828
SM1_Dzi,1252.4816246032715
MATS5d,1249.1393022537231
MATS2se,1248.2400369644165
MATS5dv,1248.0665788650513
AATSC8dv,1247.3389110565186
AATS3d,1246.9747886657715
MATS5Z,1239.1374864578247
AATSC3Z,1238.347219467163
MATS4Z,1237.7909965515137
SpMAD_A,1234.7850551605225
ATSC4p,1232.5257835388184
Kier3,1230.4801836013794
MATS6se,1228.2506589889526
MATS3dv,1221.3887701034546
ATSC6Z,1219.1422805786133
AATSC4d,1219.1119422912598
FilterItLogS,1216.089877128601
MATS6dv,1215.4654083251953
ATSC3se,1214.3304510116577
BIC1,1213.417043685913
ATSC4v,1212.4778099060059
VSA_EState9,1207.7196884155273
SpDiam_A,1207.5194902420044
GATS8se,1207.1042442321777
AATSC4v,1206.1096992492676
SpMax_A,1202.996337890625
AATS3s,1199.1122846603394
AATSC5se,1198.7877883911133
AXp-2dv,1195.4297971725464
MATS2Z,1194.6029224395752
ATSC4s,1194.486626625061
AATS7d,1192.8357582092285
AATSC7Z,1192.2590599060059
MATS7p,1189.6978206634521
AATSC3v,1189.075162410736
AATSC6d,1188.0786714553833
MATS2i,1187.6753454208374
SRW09,1186.9664268493652
AATSC2Z,1186.0052938461304
MATS2dv,1182.6726865768433
GATS7se,1181.062252998352
BIC4,1181.0205097198486
GATS7are,1179.9111576080322
MATS6Z,1179.699592590332
AATSC2dv,1176.6312112808228
ATSC1d,1173.9144382476807
GGI3,1172.9484090805054
AATS7Z,1170.7150077819824
CIC2,1169.4154205322266
GATS2Z,1168.3068943023682
AATSC8p,1166.080759048462
MATS1p,1166.0374660491943
BCUTv-1l,1165.0862445831299
AXp-5dv,1164.0838012695312
ETA_epsilon_5,1163.963768005371
AATS6s,1161.729471206665
ATSC7Z,1161.4556188583374
AATSC6s,1160.7515773773193
ATSC8Z,1159.4098958969116
